input,output
"What is the area under the normal curve when x is greater than 23, the mean is 34 and the standard deviation is 12 ?",NormalRightTail
"What is the area under the normal curve when x < 2.3, the mean is 3 and the standard deviation is 2?",NormalLeftTail
Find the area between 25 and 28 when the mean is 29 and the standard deviation is 5,NormalAreaBetween
"Find the z-value if x is 5, the mean is 4 and the standard deviation is 2.",ZValue
"If x is 21, and the mean is 22 and the standard deviation is 5, find the z-value.",ZValue
Find the area under the standard normal distribution with z greater than 0.12.,StdNormalRightTail
Find the left tail area when z is 2.31,StdNormalLeftTail
"If z = 2.1, find the right tail area for the standard normal distribution",StdNormalRightTail
Find the area above z=1.95,StdNormalRightTail
Find the area below z = -1.45,StdNormalLeftTail
Find the area between x = 55 and x = 57 when the mean is 55 and the standard deviation is 3.,NormalAreaBetween
"When z is between 1.09 and 1.28, find the area between and under the standard normal curve.",StdNormalAreaBetween
"If z is -0.45, find the left tail area for the standard normal curve.",StdNormalLeftTail
Find the right tail area under the standard normal curve when z is 2.15.,StdNormalRightTail
What is the left tail area when z = 1.78????,StdNormalLeftTail
"What is the z-value when the std deviation is 3, the mean is 4, and the x is 23. This is a great problem to try. Please give the z-value.",ZValue
Find the area under the normal curve in the left tail when z=-0.56.,StdNormalLeftTail
Find the area under the curve for z > -0.56,StdNormalRightTail
Find the area under the normal curve between 23 and 29 when the standard deviation is 6 and the mean is 24.,NormalAreaBetween
Find the x-value that represents the top 15% of the data. Suppose the mean is 24 and the standard deviation is 4.,SolveBackwardsRightTail
Find the cutoff for the lower 12% of the data under the normal distribution with a mean that is 50 and the standard deviation of 12.,SolveBackwardsLeftTail
Suppose we want to find the x-value that represents a right tail area of 12%. Suppose the mean is 30 and the standard deviation is 10.,SolveBackwardsRightTail
Find the z-value that represents the upper 20% of the data for standard normal distribution.,BackwardsStdNormalRight